,,,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
71,Jaylen Brown,SF,27,BOS,70,2343,0.499,13,,0.674,0.247,0.237,0.119,0.07,0.326,,0.57,0.723,0.487,0.52,0.398,0.354,,0.429,0.634,,0.075,76,,0.205,0.381,,0,0
72,Kendall Brown,SG,20,IND,15,63,0.533,7,,0.867,0.4,0.333,0.133,0,0.133,,0.615,0.667,0.8,0,,0,,0.75,,,0.2,3,,0.5,0,,0,0
73,Kobe Brown,PF,24,LAC,44,394,0.411,15.5,,0.467,0.289,0.111,0.056,0.011,0.533,,0.548,0.654,0.4,0.2,1,0.292,,0.652,1,,0.078,7,,0.292,0.214,,0,0
74,Moses Brown,C,24,POR,22,200,0.508,3.3,,1,0.492,0.462,0.031,0.015,0,,0.508,0.656,0.4,0,0,,,0.697,,,0.262,15,,,,,0,0
75,Troy Brown Jr.,SF,24,TOT,59,827,0.372,18.8,,0.376,0.128,0.142,0.031,0.075,0.624,,0.435,0.586,0.25,0.429,0.529,0.333,,0.459,0.915,,0.018,3,,0.312,0.295,,2,0
75,Troy Brown Jr.,SF,24,MIN,37,410,0.441,19.9,,0.288,0.136,0.076,0.042,0.034,0.712,,0.618,0.75,0.333,0.6,0.75,0.369,,0.476,0.871,,0,0,,0.321,0.37,,1,0
75,Troy Brown Jr.,SF,24,DET,22,417,0.296,17.6,,0.472,0.12,0.213,0.019,0.12,0.528,,0.314,0.385,0.217,0,0.462,0.281,,0.438,1,,0.037,3,,0.298,0.176,,1,0
76,Jalen Brunson,PG,27,NYK,77,2726,0.479,14.3,,0.681,0.127,0.275,0.189,0.09,0.319,,0.516,0.636,0.519,0.474,0.426,0.401,,0.23,0.583,,0.002,3,,0.131,0.464,,1,0
77,Thomas Bryant,C,26,MIA,38,441,0.577,7.5,,0.852,0.43,0.315,0.06,0.047,0.148,,0.646,0.766,0.596,0.444,0.143,0.182,,0.695,1,,0.248,34,,0.273,0.333,,0,0
78,Kobe Bufkin,SG,20,ATL,17,196,0.37,17.5,,0.565,0.098,0.141,0.163,0.163,0.435,,0.481,0.556,0.462,0.467,0.467,0.225,,0.32,0.667,,0,0,,0.25,0.1,,0,0
79,Reggie Bullock,SF,32,HOU,44,417,0.415,22.1,,0.183,0.049,0.037,0.049,0.049,0.817,,0.467,1,0.333,0.25,0.25,0.403,,1,0.963,,0,0,,0.433,0.552,,0,0
80,Alec Burks,SG,32,TOT,66,1212,0.369,18.6,,0.42,0.086,0.132,0.125,0.077,0.58,,0.36,0.469,0.307,0.38,0.295,0.376,,0.5,0.782,,0,0,,0.282,0.366,,0,0
80,Alec Burks,SG,32,DET,43,901,0.394,19.2,,0.392,0.069,0.135,0.101,0.086,0.608,,0.384,0.536,0.273,0.463,0.343,0.401,,0.541,0.788,,0,0,,0.279,0.391,,0,0
80,Alec Burks,SG,32,NYK,23,311,0.307,17.1,,0.491,0.129,0.123,0.184,0.055,0.509,,0.313,0.381,0.4,0.267,0.111,0.301,,0.4,0.76,,0,0,,0.289,0.292,,0,0
81,Jared Butler,SG,23,WAS,40,566,0.488,13.9,,0.612,0.214,0.328,0.05,0.02,0.388,,0.602,0.86,0.424,0.7,0.5,0.308,,0.365,0.667,,0.01,2,,0.154,0.5,,3,0
82,Jimmy Butler,PF,34,MIA,60,2042,0.499,9.7,,0.817,0.267,0.356,0.139,0.055,0.183,,0.519,0.679,0.465,0.391,0.409,0.414,,0.452,0.8,,0.057,41,,0.483,0.443,,0,0
83,Jamal Cain,PF,24,MIA,26,259,0.43,13.2,,0.608,0.215,0.253,0.101,0.038,0.392,,0.479,0.647,0.35,0.375,0.667,0.355,,0.652,0.727,,0.076,5,,0.581,0.278,,0,0
84,Kentavious Caldwell-Pope,SG,30,DEN,76,2402,0.46,17.2,,0.475,0.177,0.085,0.089,0.124,0.525,,0.52,0.615,0.44,0.423,0.507,0.406,,0.745,0.944,,0.02,12,,0.373,0.426,,0,0
85,Toumani Camara,PF,23,POR,70,1739,0.45,11.6,,0.607,0.352,0.224,0.023,0.009,0.393,,0.523,0.643,0.367,0.3,0.25,0.337,,0.504,1,,0.068,24,,0.448,0.351,,0,0
86,Clint Capela,C,29,ATL,73,1883,0.571,2.5,,0.998,0.693,0.291,0.011,0.003,0.002,,0.572,0.636,0.433,0.429,0,0,,0.68,,,0.252,144,,0,,,1,0
87,Jevon Carter,PG,28,CHI,72,1004,0.378,20.4,,0.359,0.041,0.088,0.134,0.096,0.641,,0.466,0.333,0.438,0.469,0.543,0.329,,0.689,0.87,,0,0,,0.252,0.39,,1,0
88,Wendell Carter Jr.,C,24,ORL,55,1406,0.525,12.6,,0.598,0.332,0.191,0.059,0.016,0.402,,0.626,0.809,0.395,0.44,0.286,0.374,,0.736,0.984,,0.186,71,,0.415,0.338,,0,0
