Rk,Player,Pos,Age,Team,G,MP,,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
178,Chris Duarte,SF,26,SAC,59,719,,,80,80,95,89,100,88,64,153,,-25.5,-30.4
179,David Duke Jr.,SG,24,SAS,4,51,,,117,107,137,117,128,116,68,84,,3.3,3.6
180,Kris Dunn,PG,29,UTA,66,1249,,,99,96,101,98,88,94,42,90,,-7.1,-22.4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
181,Kevin Durant,PF,35,PHO,75,2791,,,110,104,113,106,109,108,121,72,,100.3,150.4
182,Jalen Duren,C,20,DET,61,1777,,,130,114,,113,101,113,131,2,,81.5,94.4
183,Tari Eason,PF,22,HOU,22,480,,,98,92,98,94,81,91,71,67,,-12.6,-21.1
184,Anthony Edwards,SG,22,MIN,79,2770,,,97,94,98,95,107,99,133,86,,-77,-16.5
185,Kessler Edwards,SF,23,SAC,54,275,,,87,86,105,98,71,93,45,161,,-1.6,-6.7
186,Keon Ellis,SG,24,SAC,57,978,,,97,106,114,112,95,108,62,183,,30.4,23
187,Joel Embiid,C,29,PHI,39,1309,,,111,102,106,103,113,111,217,41,,23.8,135.2
188,Drew Eubanks,C,26,PHO,75,1169,,,127,109,273,111,99,111,150,3,,30.5,38.1
189,Tosan Evbuomwan,SF,22,TOT,17,367,,,107,113,103,108,87,106,144,114,,6.4,5.9
190,Tosan Evbuomwan,SF,22,MEM,4,74,,,56,52,68,61,,57,,135,,-6.4,-7.4
191,Tosan Evbuomwan,SF,22,DET,13,293,,,120,126,114,121,87,117,183,109,,12.8,13.3
192,Dante Exum,PG,28,DAL,55,1088,,,112,102,134,114,99,111,92,91,,44.9,43
193,Bruno Fernando,C,25,ATL,45,682,,,123,109,,107,85,106,210,5,,13.6,16.1
194,Dorian Finney-Smith,PF,30,BRK,68,1934,,,89,103,95,98,91,94,37,167,,-11.6,-36.2
195,Adam Flagler,SG,24,OKC,2,14,,,30,,46,39,,37,,217,,-4.7,-5.1
196,Malachi Flynn,PG,25,TOT,69,876,,,88,94,91,92,93,92,89,132,,-27.2,-33.2
197,Malachi Flynn,PG,25,TOR,31,474,,,86,90,96,93,99,92,66,148,,-9.8,-13.1
198,Malachi Flynn,PG,25,NYK,14,60,,,82,92,84,88,104,96,196,143,,-3.1,-1.3
199,Malachi Flynn,PG,25,DET,24,342,,,91,97,86,92,87,91,94,117,,-14.4,-18.8
200,Simone Fontecchio,SF,28,TOT,66,1644,,,97,101,110,107,104,103,49,154,,39,22.6
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
201,Simone Fontecchio,SF,28,UTA,50,1160,,,95,103,107,106,102,102,46,165,,21.7,9.3
202,Simone Fontecchio,SF,28,DET,16,484,,,101,99,116,108,108,106,56,135,,17.3,13.3
203,Jordan Ford,PG,25,SAC,6,22,,,120,92,182,131,128,131,117,109,,2.3,2.9
204,Trent Forrest,SG,25,ATL,38,414,,,80,73,55,71,98,73,77,28,,-28.4,-30.1
205,Evan Fournier,SG,31,TOT,32,580,,,75,93,69,79,103,80,67,149,,-50.6,-54.7
206,Evan Fournier,SG,31,NYK,3,39,,,42,73,36,46,128,50,41,190,,-11.9,-12.2
207,Evan Fournier,SG,31,DET,29,541,,,79,94,74,82,101,83,69,145,,-38.7,-42.5
208,De'Aaron Fox,PG,26,SAC,74,2659,,,98,96,101,98,94,98,112,95,,-39.2,-46.7
209,Javon Freeman-Liberty,PG,24,TOR,22,403,,,94,101,65,89,117,94,119,86,,-15.5,-9.2
210,Alex Fudge,SF,20,TOT,6,40,,,84,92,55,79,128,81,55,84,,-3.4,-3.4
211,Alex Fudge,SF,20,LAL,4,14,,,35,46,,30,128,50,136,84,,-4.6,-4
212,Alex Fudge,SF,20,DAL,2,26,,,117,122,91,112,,105,,84,,1.2,0.6
213,Markelle Fultz,PG,25,ORL,43,910,,,100,89,61,88,89,85,41,14,,-44.3,-60
214,Andrew Funk,SG,24,CHI,5,13,,,,,,,,,,190,,-4.4,-4.6
215,Wenyen Gabriel,PF,26,MEM,5,81,,,77,80,46,71,,61,93,69,,-7,-11.1
